-----  ----------  -----------------------  ------------------------------------------------------------------  ----------------------------------------------------------  -------------------------
Model  simulation  Slope                    Intercept                                                           Biovolume                                                   Determination_Coefficient
CESM
       historical  -1.035 (-1.097, -0.88)   22875310138561.457 (1205915827634.205, 117692518324075.89)          31745258166342.957 (3916817595547.587, 61574907059759.15)   0.967 (0.828, 0.997)
       ssp5        -1.025 (-1.094, -0.047)  21447583864550.27 (230846821267.619, 109653116340394.69)            30941762674932.633 (11690689557806.527, 54261344361591.49)  0.96 (0.07, 0.997)
CMCC
       historical  -1.142 (-1.285, -1.028)  44290856737003.83 (2362630452725.363, 108070507040972.47)           59670549036662.23 (0.0, 538903159437995.4)                  0.987 (0.957, 0.995)
       ssp5        -1.155 (-1.405, -1.052)  44201154697606.92 (4761841732825.512, 100695646406063.8)            50300506710231.15 (0.0, 522275548628204.4)                  0.987 (0.963, 0.995)
CNRM
       historical  -1.245 (-1.349, -1.138)  414489116979720.75 (32192045555396.914, 1003931187617966.8)         29090267142944.77 (2994027059997.324, 391009957014642.9)    0.929 (0.813, 0.971)
       ssp5        -1.264 (-1.353, -1.157)  424199350338955.56 (118992347341708.84, 1061575736421026.2)         20695730389941.215 (5182086642685.031, 234512236569722.28)  0.931 (0.804, 0.97)
GFDL
       historical  -1.145 (-1.208, -1.023)  1286248521862658.2 (7948653539.994, 4688238879475026.0)             141283465905791.72 (0.0, 686448149348642.9)                 0.987 (0.97, 0.996)
       ssp5        -1.152 (-1.23, -1.044)   1160924543562410.5 (7563852440.563, 3699682798990160.5)             126859758435027.62 (0.0, 646333685274451.5)                 0.988 (0.971, 0.996)
GISS
       historical  -1.613 (-2.571, -0.995)  3.0214037036932337e+18 (4237745000478.696, 2.6439124921083514e+20)  35426998740070.4 (1191590482.982, 295561214404262.1)        0.949 (0.889, 0.987)
       ssp5        -1.652 (-2.826, -1.081)  5.329666879722368e+18 (14664776284716.197, 8.943749308350878e+20)   19702696849931.855 (14365884.448, 154831517521540.47)       0.948 (0.879, 0.988)
IPSL
       historical  -1.27 (-1.373, -1.169)   422174036470261.56 (58292286528597.95, 997136764804035.8)           18803854662969.477 (1368693489388.468, 90488968166927.1)    0.929 (0.853, 0.972)
       ssp5        -1.274 (-1.367, -1.173)  409402360843466.8 (126209646951711.02, 835793206261510.2)           17665813880814.2 (3253998514099.158, 133331858942247.08)    0.935 (0.834, 0.973)
UKESM
       historical  -1.224 (-2.54, -1.054)   220495923244192.28 (17113458264806.191, 1383404671865813.2)         33982227865915.5 (106460.496, 234679230920197.66)           0.985 (0.933, 0.993)
       ssp5        -1.246 (-2.536, -1.041)  230615447583288.34 (16134848571220.73, 2874545037818763.0)          30698156699670.074 (20358.014, 221764669020581.6)           0.986 (0.931, 0.993)
-----  ----------  -----------------------  ------------------------------------------------------------------  ----------------------------------------------------------  -------------------------
